origin_time	origin_julday	origin_latitude	origin_longitude	origin_depth_km	approx_distance_km
2019-06-03T16:39:57.029000Z	154	57.3243	-155.6534	66.2	194.831
2019-06-22T06:45:03.197000Z	173	57.1756	-155.6231	85.9	197.596
2019-06-09T02:59:43.884000Z	160	57.2088	-155.6497	79.6	198.007
2019-06-02T11:46:08.520000Z	153	57.3442	-155.7495	83.2	199.972
2019-05-17T02:26:08.773000Z	137	57.2976	-155.7625	3.0	201.923
2019-06-14T10:22:56.678000Z	165	57.2764	-155.7547	80.3	202.049
2019-06-12T02:08:23.008000Z	163	57.7628	-155.8822	10.3	203.124
2019-06-12T00:37:22.091000Z	163	57.7208	-155.9159	16.5	205.122
2019-06-06T20:32:07.878000Z	157	57.4988	-155.9228	74.0	207.253
2019-06-18T18:46:02.099000Z	169	58.4382	-155.7062	155.2	208.012
2019-05-17T13:08:05.948000Z	137	55.9576	-153.7757	46.9	208.793
2019-05-25T00:33:15.253000Z	145	57.3321	-155.8969	74.6	208.929
2019-06-06T09:46:58.235000Z	157	57.7959	-156.0649	115.9	214.068
2019-05-17T10:58:59.809000Z	137	58.323	-155.9611	156.4	217.716
2019-05-17T05:11:04.078000Z	137	56.7227	-155.6131	60.0	218.162
2019-05-27T03:15:06.109000Z	147	57.067	-155.9727	91.7	221.558
2019-05-30T08:22:18.746000Z	150	57.8464	-156.2193	115.7	223.455
2019-05-29T15:26:22.591000Z	149	57.897	-156.2234	131.7	224.046
2019-06-06T12:20:07.423000Z	157	57.8606	-156.25	130.7	225.358
2019-05-30T03:34:56.911000Z	150	57.459	-156.2175	78.6	225.37
2019-05-21T11:14:05.056000Z	141	56.8778	-155.8973	75.0	225.373
2019-05-24T05:56:23.740000Z	144	58.2742	-156.1601	156.3	227.41
2019-06-17T19:40:24.316000Z	168	58.138	-156.2226	15.5	227.575
2019-06-09T04:32:25.802000Z	160	56.4285	-155.4705	51.2	229.789
2019-06-02T19:15:52.399000Z	153	57.8128	-156.3407	135.0	230.513
2019-05-24T22:38:30.242000Z	144	57.4893	-156.3213	83.1	231.089
2019-05-26T04:53:11.179000Z	146	58.5661	-156.0385	174.8	231.392
2019-05-27T22:43:34.409000Z	147	56.1855	-149.794	12.3	234.009
2019-05-28T05:58:42.616000Z	148	56.195	-149.754	12.1	234.946
2019-06-07T05:32:53.937000Z	158	57.0536	-156.2593	13.7	238.46
2019-06-14T06:28:03.227000Z	165	57.7855	-156.4811	127.9	238.793
2019-06-05T14:29:28.020000Z	156	56.3927	-149.3043	23.7	240.752
2019-06-22T05:28:35.974000Z	173	57.6992	-156.5294	117.2	241.73
2019-06-20T18:30:58.451000Z	171	57.2255	-156.4801	82.9	245.888
2019-06-16T04:42:13.543000Z	167	56.6832	-156.097	87.1	246.075
2019-05-26T09:49:33.092000Z	146	55.9893	-149.8633	11.2	247.664
2019-06-18T05:19:19.176000Z	169	56.0088	-149.8171	12.1	247.814
2019-06-13T18:15:20.572000Z	164	56.0526	-149.6635	11.5	250.398
2019-05-19T08:34:51.499000Z	139	56.0558	-149.6433	3.3	250.979
2019-06-11T08:05:14.957000Z	162	56.0412	-149.6641	11.9	251.318
2019-06-01T10:39:40.934000Z	152	55.487	-153.4804	2.9	253.152
2019-06-21T07:10:39.409000Z	172	55.4588	-151.6762	12.0	253.45
2019-06-18T21:30:15.122000Z	169	55.9748	-149.7255	12.1	254.387
2019-06-08T19:58:09.260000Z	159	55.8738	-149.8578	12.0	257.997
2019-06-14T01:05:01.378000Z	165	56.9206	-156.5245	65.2	258.68
2019-06-17T14:44:42.245000Z	168	56.7604	-156.4037	65.9	258.921
2019-06-22T00:40:23.303000Z	173	55.8194	-149.9505	10.6	259.433
