,code,lat,lon,elev_m
292,9072,57.52831,-152.457786,103.0
293,9073,57.530275,-152.459493,100.0
294,9074,57.531902,-152.45957,88.0
295,9075,57.534121,-152.461942,65.0
296,9076,57.535729,-152.461751,45.0
297,9077,57.538079,-152.460948,48.0
298,9078,57.540586,-152.461228,46.0
299,9079,57.542372,-152.462939,45.0
300,9080,57.544464,-152.464746,29.0
301,9081,57.545898,-152.466079,30.0
302,9082,57.546882,-152.467317,31.0
303,9083,57.548734,-152.467708,30.0
304,9084,57.55155,-152.466597,27.0
305,9085,57.554624,-152.467087,21.0
306,9086,57.556313,-152.467046,23.0
307,9087,57.559474,-152.466983,24.0
308,9088,57.561586,-152.467019,20.0
309,9089,57.565531,-152.46534,20.0
310,9090,57.570027,-152.462131,14.0
311,9091,57.574767,-152.459453,8.0
312,9092,57.580005,-152.455495,4.0
313,9093,57.582677,-152.456459,1.0
314,9094,57.583441,-152.458655,0.0
315,9095,57.584442,-152.461634,7.0
316,9096,57.584856,-152.463969,2.0
317,9097,57.585649,-152.466667,0.0
318,9098,57.58614,-152.468015,1.0
319,9100,57.587527,-152.473146,3.0
320,9101,57.588525,-152.475574,2.0
321,9102,57.59007,-152.477726,0.0
322,9103,57.591318,-152.479716,3.0
323,9104,57.593191,-152.48091,9.0
324,9105,57.59525,-152.479174,14.0
325,9106,57.599342,-152.473896,18.0
326,9107,57.601701,-152.4708,45.0
327,9108,57.605837,-152.465451,91.0
328,9109,57.611235,-152.458861,93.0
329,9110,57.615446,-152.452237,73.0
330,9111,57.61852,-152.448441,59.0
331,9112,57.620927,-152.446245,57.0
332,9113,57.626177,-152.441041,34.0
333,9115,57.64822,-152.441021,0.0
334,9116,57.649272,-152.44325,3.0
335,9117,57.649905,-152.444161,9.0
336,9118,57.649922,-152.448182,22.0
337,9119,57.651077,-152.451298,53.0
338,9120,57.652315,-152.453156,62.0
339,9121,57.653251,-152.455471,51.0
340,9122,57.654592,-152.458183,43.0
341,9123,57.652544,-152.464614,5.0
342,9124,57.650126,-152.470614,11.0
343,9125,57.646694,-152.476913,25.0
344,9126,57.643565,-152.476271,33.0
345,9127,57.639382,-152.483517,52.0
346,9128,57.639316,-152.48928,28.0
347,9129,57.638908,-152.492887,12.0
348,9130,57.638997,-152.497074,14.0
349,9131,57.639393,-152.499631,12.0
350,9132,57.639301,-152.503535,1.0
351,9133,57.638687,-152.507379,3.0
352,9134,57.639159,-152.51094,2.0
353,9135,57.640262,-152.512802,0.0
354,9136,57.641776,-152.514155,0.0
355,9137,57.643192,-152.51556,0.0
356,9138,57.644304,-152.517388,0.0
357,9139,57.645508,-152.519952,4.0
358,9140,57.651273,-152.526477,6.0
359,9141,57.655273,-152.520191,4.0
360,9142,57.658815,-152.51143,10.0
361,9143,57.66377,-152.503771,23.0
362,9144,57.667878,-152.495249,57.0
363,9145,57.670845,-152.484881,78.0
364,9146,57.679129,-152.476513,24.0
365,9147,57.686571,-152.479744,16.0
366,9148,57.691816,-152.475257,56.0
367,9149,57.693394,-152.476761,44.0
368,9150,57.694248,-152.479114,46.0
369,9151,57.69588,-152.480566,61.0
370,9152,57.697171,-152.482041,57.0
371,9153,57.698965,-152.483576,61.0
372,9154,57.700072,-152.486362,59.0
373,9155,57.697056,-152.493552,94.0
374,9156,57.696926,-152.497009,100.0
375,9157,57.696813,-152.500299,98.0
376,9158,57.697171,-152.502291,94.0
377,9159,57.697735,-152.504112,88.0
378,9160,57.698274,-152.508718,96.0
379,9161,57.698879,-152.511814,95.0
380,9162,57.699233,-152.51508,100.0
381,9163,57.697271,-152.521314,83.0
382,9164,57.696685,-152.525549,71.0
383,9165,57.694875,-152.531445,28.0
384,9166,57.694046,-152.535548,11.0
385,9167,57.694379,-152.538161,1.0
386,9168,57.694421,-152.542388,3.0
387,9169,57.694597,-152.546395,3.0
388,9215,57.634301,-152.433916,28.0
389,9216,57.638376,-152.431223,16.0
390,9217,57.641964,-152.429977,29.0
391,9218,57.641938,-152.432289,19.0
392,9219,57.643544,-152.433839,18.0
393,9220,57.644418,-152.436388,17.0
394,9221,57.645548,-152.438029,9.0
395,9222,57.647215,-152.439277,5.0
