code,lat,lon,elev_m
RD02,60.5208,-152.7376,1401.0
RD03,60.4705,-152.8201,1607.0
RDDF,60.5912,-152.6883,1134.0
RDDR,60.5843,-152.5887,905.0
RDE,60.5869,-152.5925,571.0
RDJH,60.5905,-152.8058,1414.0
RDN,60.5224,-152.7401,1400.0
RDSO,60.4536,-152.7453,1556.9
RDT,60.5726,-152.4079,945.0
RDW,60.4821,-152.81,1813.0
RDWB,60.486807,-152.843634,1659.0
RED,60.4196,-152.7742,1071.0
REF,60.4888,-152.694,1641.0
RSO,60.4616,-152.756,1921.0
S12K,55.702988,-162.066971,399.0
S14K,56.2848,-159.5532,1059.0
SDPI,55.3492,-160.4768,80.0
SPBG,61.2591,-152.3722,1087.0
SPBL,61.3764,-151.8947,927.0
SPCG,61.2913,-152.0228,1329.0
SPCL,61.1956,-152.3399,1274.0
SPCN,61.223675,-152.18403,733.3
SPCP,61.265465,-152.155495,1640.0
SPCR,61.2003,-152.2091,984.0
SPNN,61.3662,-152.7012,1166.0
SPNW,61.3465,-152.6062,1040.0
SPU,61.1811,-152.0566,800.0
SPWE,61.27346,-152.559,1317.0
SSBA,54.771749,-164.12662,646.2
SSLN,54.811351,-163.998557,789.6
SSLS,54.70938,-163.99723,796.0
SSLW,54.7709,-164.1234,636.0
STLK,61.4982,-151.8349,945.0
SYI,58.6094,-152.3935,149.0
TACS,51.8621,-178.1414,918.0
TAFL,51.7555,-177.8998,186.0
TAFP,51.899,-177.9853,440.0
TANO,51.9146,-178.1228,269.0
TAPA,51.8144,-177.8148,640.0
TASE,51.834935,-178.03717,686.0
TASO,51.85355,-178.1453,690.0
VNBL,56.30434,-159.2077,640.7
VNCG,56.20186,-159.48344,1199.1
VNFG,56.2849,-159.5532,1068.0
VNHG,56.2203,-159.1663,966.0
VNKR,56.032021,-159.36805,620.0
VNNF,56.2829,-159.3181,1153.0
VNSG,56.125,-159.0875,761.0
VNSO,56.081522,-159.264433,649.5
VNSS,56.2259,-159.4569,1733.0
VNSW,56.07137,-159.56071,696.8
VNWF,56.1509,-159.5643,1095.0
WACK,61.9858,-144.3305,2280.0
WANC,62.0027,-144.072,4190.0
WASW,61.9277,-144.1745,2196.0
WAZA,62.0746,-144.1544,2531.0
WEBT,54.5902,-164.755,467.0
WECS,54.53,-164.7796,639.0
WESE,54.4723,-164.586,953.0
WESN,54.57184,-164.58054,552.5
WESP,54.492371,-164.723326,977.0
WESS,54.4796,-164.7242,908.0
WFAR,54.5329,-164.7781,640.0
WHTR,60.77968,-148.72701,20.0
WPOG,54.5964,-164.7454,445.0
WTUG,54.8466,-164.3873,636.0
ZRO,54.09163,-165.97798,441.7
